Quote,Author,Book,Tags
"“... we find a complete contradiction in our wishing to live without suffering, a contradiction that is therefore implied by the frequently used phrase “blessed life.” This will certainly be clear to the person who has fully grasped my discussion that follows. This contradiction is revealed in this ethic of pure reason itself by the fact that the Stoic is compelled to insert a recommendation of suicide in his guide to the blissful life (for this is what his ethics always remains). This is like the costly phial of poison to be found among the magnificent ornaments and apparel of oriental despots, and is for the case where the sufferings of the body, incapable of being philosophized away by any principles and syllogisms, are paramount and incurable. Thus its sole purpose, namely blessedness, is frustrated, and nothing remains as a means of escape from pain except death. But then death must be taken with unconcern, just as is any other medicine. Here a marked contrast is evident between the Stoic ethics and all those other ethical systems mentioned above. These ethical systems make virtue directly and in itself the aim and object, even with the most grievous sufferings, and will not allow a man to end his life in order to escape from suffering. But not one of them knew how to express the true reason for rejecting suicide, but they laboriously collected fictitious arguments of every kind. This true reason will appear in the fourth book in connexion with our discussion. But the above-mentioned contrast reveals and confirms just that essential difference to be found in the fundamental principle between the Stoa, really only a special form of eudaemonism, and the doctrines just mentioned, although both often agree in their results, and are apparently related. But the above-mentioned inner contradiction, with which the Stoic ethics is affected even in its fundamental idea, further shows itself in the fact that its ideal, the Stoic sage as represented by this ethical system, could never obtain life or inner poetical truth, but remains a wooden, stiff lay-figure with whom one can do nothing. He himself does not know where to go with his wisdom, and his perfect peace, contentment, and blessedness directly contradict the nature of mankind, and do not enable us to arrive at any perceptive representation thereof. Compared with him, how entirely different appear the overcomers of the world and voluntary penitents, who are revealed to us, and are actually produced, by the wisdom of India; how different even the Saviour of Christianity, that excellent form full of the depth of life, of the greatest poetical truth and highest significance, who stands before us with perfect virtue, holiness, and sublimity, yet in a state of supreme suffering.”","Arthur Schopenhauer,","The World as Will and Representation, Volume I","schopenhauer, stoicism, suffering, suicide"
"“A man asked me to write to Rome on his behalf who, as most people thought, had met with misfortune; for having been before wealthy and distinguished, he had afterwards lost all and was living here. So I wrote about him in a humble style. He however on reading the letter returned it to me, with the words: ""I asked for your help, not for your pity. No evil has happened unto me.”",Epictetus,N/A,"philosophy, stoicism"
"“True instruction is this:--to learn to wish that each thing should come to pass as it does. And how does it come to pass? As the Disposer has disposed it. Now He has disposed that there should be summer and winter, and plenty and dearth, and vice and virtue, and all such opposites, for the harmony of the whole.”",Epictetus,N/A,"philosophy, stoicism"
“We always put ourselves first: the fulfilment of our desire sometimes comes last.”,@Mokokoma Mokhonoana,N/A,"altruism, altruistic, charity, pessimism, philanthropy, selfish, selfishness, selfless, selflessness, stoicism"
“Small talk is one of the most common symptoms of small-mindedness.”,@Mokokoma Mokhonoana,N/A,"gossip, intellectual, intelligence, pessimism, small-minded, small-mindedness, small-talk, stoicism, stupid, stupidity"
“Mindfulness is the only doorway to the unhurried life.”,@Mokokoma Mokhonoana,N/A,"be-mindful, hurry, in-a-hurry, meditation, mindfulness, non-duality, nonduality, spirituality, stoicism, stress"
"“A better attitude towards life is better than a better life, and leads to a better life.”",@Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, negativity, optimism, perspective, pessimism, positivity, stoicism, wisdom, words-to-live-by"
"“I encouraged them to bear up against all evils, and if we must perish, to die in our own cause, and not weakly distrust the providence of the Almighty, by giving ourselves up to despair. I reasoned with them, and told them that we would not die sooner by keeping up our hopes; that the dreadful sacrifices and privations we endured were to preserve us from death, and were not to be put in competition with the price which we set upon our lives, and their value to our families: it was, besides, unmanly to repine at what neither admitted of alleviation nor cure; and withal, that it was our solemn duty to recognise in our calamities an overruling divinity, by whose mercy we might be suddenly snatched from peril, and to rely upon him alone, ‘Who tempers the wind to the shorn lamb?”","Owen Chase,",Wreck of the Whale Ship Essex: The Complete Illustrated Edition: The Extraordinary and Distressing Memoir That Inspired Herman Melville's Moby-Dick,"perseverance, stoicism"
“Remember you will die but do brave deeds and endure”,"J.R. Potts,",Gathering of the Crimson Cloaks,"bravery, courage, death-and-dying, endure, heroism, stoicism"
"“At the heart of stoicism lay the desire to disappoint oneself before someone else had the chance to do so. Stoic­ism was a crude defense against the dangers of the affections of others, dangers that would take more endurance than a life in the desert to be able to face.”","Alain de Botton,",On Love,"love, stoicism"
“Most adult geniuses are more playful than most children.”,@Mokokoma Mokhonoana,N/A,"childlike, genius, geniuses, play, playful, playfulness, serious, seriousness, stoicism, take-life-seriously"
"“Fools act wise, not wisely.”",@Mokokoma Mokhonoana,N/A,"fool, foolish, fools, pretend-to-be-smart, pretend-to-be-wise, stoicism, stupid, stupidity, wisdom, wise"
“Most people usually talk faster than they think.”,Mokokoma Mokhonoana,N/A,"fast-tongue, speak, speak-fast, speaking, speaking-fast, stoicism, talk, talk-fast, talking, talking-fast"
“The good and the bad occur at all times and will keep happening. We can become lost if we go with the hype of ‘good and bad’ every time.”,"Tiisetso Maloma,","Introducing Ubuntu Stoicism: Gain Joy, Resilience, Productivity, and Defuse Anxiety",stoicism
"“Press on and make all your actions and words cohere and fit with one another, all struck from the same mold.”",Lucius Annaeus Seneca,N/A,stoicism
"“If ever you want to find out whether anything has been achieved, observe whether your intentions are the same today as they were yesterday. A change of intention shows that the mind is at sea, drifting here and there as carried by the wind.”",Lucius Annaeus Seneca,N/A,stoicism
"“Things we wouldn't be willing to pay for if it meant giving up our house for them, or some pleasant or productive estate, we are quite ready to obtain at the cost of anxiety, of danger, of losing our freedom, our decency, our time.”",Lucius Annaeus Seneca,N/A,stoicism
"“Count yourself fortunate when you are able to live in a manner open to the public—when walls are there for shelter, not for concealment. For as a rule we think we have walls around us not to protect us but to afford greater privacy to our misdeeds.”",Lucius Annaeus Seneca,N/A,stoicism
"“Flattery looks very much like friendship, indeed not only resembles it but actually wins out against it. A person drinks it in with eager ears and takes it deeply to heart, delighted by the very qualities that make it dangerous.”",Lucius Annaeus Seneca,N/A,stoicism
“A charming enemy comes to me as a friend; faults creep in calling themselves virtues; temerity cloaks itself with the name of courage; cowardice gets called moderation; and timidity passes itself off as caution.”,Lucius Annaeus Seneca,N/A,stoicism
